date,ma2_bottomfish,ma2_halibut,ma2_salmon,razor_long_beach,razor_twin_harbors,razor_copalis,razor_mocrocks,razor_kalaloch,razor_any
2023-06-16,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-17,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-18,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-19,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-20,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-21,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-22,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-23,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-24,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-25,OPEN,OPEN,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-26,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-27,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-28,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-29,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-06-30,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-01,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-02,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-03,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-04,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-05,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-06,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-07,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-08,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-09,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-10,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-11,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-12,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-13,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-14,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-15,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-16,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-17,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-18,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-19,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-20,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-21,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-22,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-23,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-24,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-25,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-26,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-27,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-28,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-29,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-30,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-07-31,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-01,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-02,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-03,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-04,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-05,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-06,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-07,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-08,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-09,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
2023-08-10,OPEN,CLOSED,OPEN,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
